primary_type,location_description,f0_
DECEPTIVE PRACTICE,BANK,20297
OTHER OFFENSE,OTHER,20176
THEFT,COMMERCIAL / BUSINESS OFFICE,19796
CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,19297
CRIMINAL TRESPASS,APARTMENT,18029
ASSAULT,RESIDENCE PORCH/HALLWAY,17829
WEAPONS VIOLATION,SIDEWALK,17719
BATTERY,PARKING LOT/GARAGE(NON.RESID.),17506
THEFT,BAR OR TAVERN,17497
THEFT,RESIDENCE-GARAGE,16169
CRIMINAL DAMAGE,ALLEY,16038
PUBLIC PEACE VIOLATION,STREET,15885
THEFT,ALLEY,15857
THEFT,CTA TRAIN,15700
ASSAULT,OTHER,15647
THEFT,PARK PROPERTY,15361
BATTERY,VEHICLE NON-COMMERCIAL,14709
BATTERY,RESTAURANT,14565
BURGLARY,OTHER,14390
BATTERY,CHA APARTMENT,14321
BATTERY,PARK PROPERTY,14279
OFFENSE INVOLVING CHILDREN,APARTMENT,14170
BATTERY,BAR OR TAVERN,14047
NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),13768
CRIMINAL TRESPASS,CHA PARKING LOT/GROUNDS,13745
NARCOTICS,APARTMENT,13363
CRIMINAL TRESPASS,GAS STATION,13162
CRIMINAL TRESPASS,RESIDENCE PORCH/HALLWAY,13024
DECEPTIVE PRACTICE,CTA PLATFORM,12762
CRIMINAL TRESPASS,OTHER,12696
OTHER OFFENSE,SIDEWALK,12464
NARCOTICS,OTHER,12221
DECEPTIVE PRACTICE,RESTAURANT,12094
ASSAULT,ALLEY,12007
CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),11910
CRIMINAL DAMAGE,RESTAURANT,11714
CRIMINAL DAMAGE,SIDEWALK,11375
CRIMINAL TRESPASS,STREET,11142
CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,11126
BATTERY,"SCHOOL, PUBLIC, GROUNDS",11104
THEFT,HOTEL/MOTEL,11026
ASSAULT,RESTAURANT,10818
CRIMINAL TRESPASS,CHA HALLWAY/STAIRWELL/ELEVATOR,10633
BURGLARY,SMALL RETAIL STORE,10572
DECEPTIVE PRACTICE,,10514
DECEPTIVE PRACTICE,SMALL RETAIL STORE,10466
BATTERY,GAS STATION,10154
NARCOTICS,"SCHOOL, PUBLIC, BUILDING",10071
THEFT,CONVENIENCE STORE,9956
CRIMINAL DAMAGE,SMALL RETAIL STORE,9871
PUBLIC PEACE VIOLATION,SIDEWALK,9774
NARCOTICS,RESIDENCE PORCH/HALLWAY,9701
CRIMINAL TRESPASS,RESTAURANT,9630
BATTERY,CHA PARKING LOT/GROUNDS,9516
BURGLARY,RESTAURANT,9430
WEAPONS VIOLATION,ALLEY,9305
INTERFERENCE WITH PUBLIC OFFICER,STREET,9229
WEAPONS VIOLATION,RESIDENCE,9177
BATTERY,RESIDENTIAL YARD (FRONT/BACK),9147
CRIM SEXUAL ASSAULT,RESIDENCE,8974
CRIMINAL DAMAGE,"SCHOOL, PUBLIC, BUILDING",8819
OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,8790
MOTOR VEHICLE THEFT,OTHER,8467
THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),8415
GAMBLING,SIDEWALK,8301
THEFT,CTA BUS,8252
CRIMINAL DAMAGE,COMMERCIAL / BUSINESS OFFICE,8195
ROBBERY,PARKING LOT/GARAGE(NON.RESID.),8095
CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),8050
SEX OFFENSE,RESIDENCE,8023
ASSAULT,SMALL RETAIL STORE,8009
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,8009
NARCOTICS,PARK PROPERTY,7984
ASSAULT,PARKING LOT/GARAGE(NON.RESID.),7954
DECEPTIVE PRACTICE,CURRENCY EXCHANGE,7914
DECEPTIVE PRACTICE,DEPARTMENT STORE,7590
THEFT,ATHLETIC CLUB,7580
BATTERY,CTA BUS,7574
ROBBERY,SMALL RETAIL STORE,7520
THEFT,HOSPITAL BUILDING/GROUNDS,7303
CRIMINAL DAMAGE,DRIVEWAY - RESIDENTIAL,7212
DECEPTIVE PRACTICE,ATM (AUTOMATIC TELLER MACHINE),7212
ASSAULT,GAS STATION,7203
THEFT,DRIVEWAY - RESIDENTIAL,7188
BATTERY,SMALL RETAIL STORE,7175
NARCOTICS,GAS STATION,7149
ROBBERY,GAS STATION,7038
BATTERY,NURSING HOME/RETIREMENT HOME,7023
CRIM SEXUAL ASSAULT,APARTMENT,6935
MOTOR VEHICLE THEFT,ALLEY,6912
THEFT,CONSTRUCTION SITE,6872
PROSTITUTION,SIDEWALK,6807
THEFT,TAVERN/LIQUOR STORE,6750
BURGLARY,COMMERCIAL / BUSINESS OFFICE,6488
HOMICIDE,STREET,6487
DECEPTIVE PRACTICE,SIDEWALK,6445
THEFT,CTA PLATFORM,6394
OTHER OFFENSE,VEHICLE NON-COMMERCIAL,6337
CRIMINAL DAMAGE,GAS STATION,6236
CRIMINAL TRESPASS,GROCERY FOOD STORE,6194
BATTERY,GROCERY FOOD STORE,6192
NARCOTICS,CHA HALLWAY/STAIRWELL/ELEVATOR,6151
DECEPTIVE PRACTICE,GAS STATION,6027
NARCOTICS,VACANT LOT/LAND,6006
NARCOTICS,POLICE FACILITY/VEH PARKING LOT,5943
ROBBERY,OTHER,5867
THEFT,RESIDENCE - PORCH / HALLWAY,5843
ROBBERY,RESIDENCE,5733
ROBBERY,APARTMENT,5650
DECEPTIVE PRACTICE,GROCERY FOOD STORE,5619
CRIMINAL DAMAGE,CHA APARTMENT,5524
MOTOR VEHICLE THEFT,GAS STATION,5523
CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),5521
ASSAULT,RESIDENTIAL YARD (FRONT/BACK),5442
WEAPONS VIOLATION,APARTMENT,5422
THEFT,AIRPORT/AIRCRAFT,5415
MOTOR VEHICLE THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),5313
ASSAULT,GROCERY FOOD STORE,5249
THEFT,BANK,5163
PUBLIC PEACE VIOLATION,RESIDENCE,5105
BATTERY,HOSPITAL BUILDING/GROUNDS,5082
BATTERY,HOTEL/MOTEL,5044
ROBBERY,RESTAURANT,5019
THEFT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,4951
CRIMINAL TRESPASS,SMALL RETAIL STORE,4879
ROBBERY,RESIDENCE PORCH/HALLWAY,4841
CRIMINAL DAMAGE,PARK PROPERTY,4821
SEX OFFENSE,APARTMENT,4770
NARCOTICS,CTA PLATFORM,4704
PUBLIC PEACE VIOLATION,"SCHOOL, PUBLIC, BUILDING",4703
WEAPONS VIOLATION,"SCHOOL, PUBLIC, BUILDING",4686
BATTERY,CTA PLATFORM,4666
BATTERY,CHA HALLWAY/STAIRWELL/ELEVATOR,4531
CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK),4521
MOTOR VEHICLE THEFT,RESIDENCE,4517
CRIMINAL TRESPASS,"SCHOOL, PUBLIC, BUILDING",4464
NARCOTICS,RESIDENTIAL YARD (FRONT/BACK),4430
THEFT,"SCHOOL, PRIVATE, BUILDING",4377
ASSAULT,"SCHOOL, PUBLIC, GROUNDS",4238
OTHER OFFENSE,SMALL RETAIL STORE,4108
MOTOR VEHICLE THEFT,DRIVEWAY - RESIDENTIAL,4107
THEFT,VACANT LOT/LAND,4059
MOTOR VEHICLE THEFT,RESIDENTIAL YARD (FRONT/BACK),4022
BURGLARY,CONSTRUCTION SITE,3972
OTHER OFFENSE,RESTAURANT,3955
THEFT,"SCHOOL, PUBLIC, GROUNDS",3934
ROBBERY,CTA TRAIN,3915
ARSON,VEHICLE NON-COMMERCIAL,3894
THEFT,WAREHOUSE,3802
BURGLARY,VACANT LOT/LAND,3774
INTERFERENCE WITH PUBLIC OFFICER,SIDEWALK,3766
BATTERY,CTA TRAIN,3766
ROBBERY,PARK PROPERTY,3737
ASSAULT,PARK PROPERTY,3707
DECEPTIVE PRACTICE,PARKING LOT/GARAGE(NON.RESID.),3665
DECEPTIVE PRACTICE,OTHER (SPECIFY),3654
CRIMINAL TRESPASS,CHA APARTMENT,3648
DECEPTIVE PRACTICE,TAXICAB,3631
BURGLARY,RESIDENCE - GARAGE,3551
ASSAULT,COMMERCIAL / BUSINESS OFFICE,3541
BATTERY,TAVERN/LIQUOR STORE,3526
THEFT,OTHER (SPECIFY),3520
ASSAULT,CHA APARTMENT,3468
MOTOR VEHICLE THEFT,VEHICLE NON-COMMERCIAL,3453
ROBBERY,GROCERY FOOD STORE,3445
CRIMINAL DAMAGE,GROCERY FOOD STORE,3349
OTHER OFFENSE,PARKING LOT/GARAGE(NON.RESID.),3332
ASSAULT,CHA PARKING LOT/GROUNDS,3317
OTHER OFFENSE,ALLEY,3253
LIQUOR LAW VIOLATION,SIDEWALK,3232
BURGLARY,GROCERY FOOD STORE,3201
WEAPONS VIOLATION,VEHICLE NON-COMMERCIAL,3185
CRIMINAL TRESPASS,SIDEWALK,3179
CRIMINAL DAMAGE,VACANT LOT/LAND,3161
CRIMINAL DAMAGE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3124
SEX OFFENSE,STREET,3063
THEFT,VEHICLE-COMMERCIAL,3062
OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",3057
THEFT,NURSING HOME/RETIREMENT HOME,3055
ASSAULT,CTA BUS,3038
CRIMINAL DAMAGE,CTA BUS,3024
THEFT,CHA APARTMENT,3017
NARCOTICS,ABANDONED BUILDING,3007
CRIMINAL DAMAGE,"SCHOOL, PUBLIC, GROUNDS",2964
BATTERY,"SCHOOL, PRIVATE, BUILDING",2937
THEFT,GOVERNMENT BUILDING/PROPERTY,2929
NARCOTICS,CHA APARTMENT,2914
THEFT,RESIDENCE - YARD (FRONT / BACK),2875
BATTERY,COMMERCIAL / BUSINESS OFFICE,2815
ROBBERY,VEHICLE NON-COMMERCIAL,2812
CRIMINAL TRESPASS,CTA PLATFORM,2776
LIQUOR LAW VIOLATION,STREET,2766
THEFT,COLLEGE/UNIVERSITY GROUNDS,2763
OTHER OFFENSE,AIRPORT/AIRCRAFT,2750
SEX OFFENSE,SIDEWALK,2739
THEFT,CTA GARAGE / OTHER PROPERTY,2714
BATTERY,PARKING LOT / GARAGE (NON RESIDENTIAL),2698
ROBBERY,CTA PLATFORM,2659
CRIMINAL DAMAGE,CTA TRAIN,2641
CRIMINAL DAMAGE,CTA PLATFORM,2620
BURGLARY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2596
CRIMINAL DAMAGE,CHA PARKING LOT/GROUNDS,2573
CRIMINAL TRESPASS,RESIDENCE-GARAGE,2525
OFFENSE INVOLVING CHILDREN,STREET,2485
DECEPTIVE PRACTICE,BAR OR TAVERN,2472
BURGLARY,CHA APARTMENT,2471
CRIMINAL SEXUAL ASSAULT,APARTMENT,2464
LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE,2452
ARSON,RESIDENCE,2447
MOTOR VEHICLE THEFT,RESIDENCE-GARAGE,2423
OTHER OFFENSE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,2390
THEFT,MEDICAL/DENTAL OFFICE,2364
BURGLARY,WAREHOUSE,2355
THEFT,LIBRARY,2345
CRIMINAL TRESPASS,HOTEL/MOTEL,2345
PUBLIC PEACE VIOLATION,APARTMENT,2335
OTHER OFFENSE,RESIDENCE PORCH/HALLWAY,2310
ASSAULT,HOSPITAL BUILDING/GROUNDS,2304
BATTERY,DEPARTMENT STORE,2299
ASSAULT,CONVENIENCE STORE,2267
ROBBERY,BANK,2258
BURGLARY,"SCHOOL, PUBLIC, BUILDING",2225
CRIMINAL TRESPASS,DRUG STORE,2223
CRIMINAL DAMAGE,BAR OR TAVERN,2217
ASSAULT,DEPARTMENT STORE,2205
BATTERY,CONVENIENCE STORE,2180
CRIMINAL TRESPASS,"SCHOOL, PUBLIC, GROUNDS",2170
CRIMINAL TRESPASS,TAVERN/LIQUOR STORE,2167
ROBBERY,CTA BUS STOP,2162
CRIMINAL DAMAGE,RESIDENCE - GARAGE,2159
ASSAULT,GOVERNMENT BUILDING/PROPERTY,2145
THEFT,RESIDENCE - GARAGE,2141
WEAPONS VIOLATION,RESIDENTIAL YARD (FRONT/BACK),2135
DECEPTIVE PRACTICE,HOTEL/MOTEL,2113
KIDNAPPING,STREET,2101
BATTERY,RESIDENCE - PORCH / HALLWAY,2071
ASSAULT,VEHICLE NON-COMMERCIAL,2032
DECEPTIVE PRACTICE,CTA GARAGE / OTHER PROPERTY,2025
THEFT,CTA BUS STOP,2000
DECEPTIVE PRACTICE,DRUG STORE,1978
BURGLARY,ABANDONED BUILDING,1947
BATTERY,VACANT LOT/LAND,1938
CRIMINAL TRESPASS,CONVENIENCE STORE,1938
OTHER OFFENSE,GAS STATION,1928
ROBBERY,CONVENIENCE STORE,1928
ROBBERY,RESIDENTIAL YARD (FRONT/BACK),1888
CRIMINAL TRESPASS,POLICE FACILITY/VEH PARKING LOT,1888
OTHER OFFENSE,HOSPITAL BUILDING/GROUNDS,1880
CRIMINAL SEXUAL ASSAULT,RESIDENCE,1877
CRIM SEXUAL ASSAULT,ALLEY,1854
CRIMINAL TRESPASS,AIRPORT/AIRCRAFT,1852
BATTERY,GOVERNMENT BUILDING/PROPERTY,1845
MOTOR VEHICLE THEFT,VACANT LOT/LAND,1844
CRIMINAL DAMAGE,CTA GARAGE / OTHER PROPERTY,1819
CRIMINAL DAMAGE,POLICE FACILITY/VEH PARKING LOT,1807
BATTERY,RESIDENCE - YARD (FRONT / BACK),1806
BATTERY,POLICE FACILITY/VEH PARKING LOT,1803
ASSAULT,PARKING LOT / GARAGE (NON RESIDENTIAL),1799
PROSTITUTION,HOTEL/MOTEL,1798
KIDNAPPING,RESIDENCE,1791
GAMBLING,STREET,1768
BATTERY,SCHOOL - PUBLIC BUILDING,1763
CRIMINAL TRESPASS,COMMERCIAL / BUSINESS OFFICE,1761
BATTERY,RESIDENCE-GARAGE,1750
WEAPONS VIOLATION,RESIDENCE PORCH/HALLWAY,1728
THEFT,TAXICAB,1722
THEFT,CHA PARKING LOT/GROUNDS,1721
BURGLARY,RESIDENCE PORCH/HALLWAY,1718
THEFT,FACTORY/MANUFACTURING BUILDING,1710
ASSAULT,DRUG STORE,1690
CRIMINAL TRESPASS,ABANDONED BUILDING,1689
ROBBERY,RESIDENCE-GARAGE,1688
BURGLARY,BARBERSHOP,1683
CRIMINAL TRESPASS,DEPARTMENT STORE,1679
ASSAULT,CTA PLATFORM,1672
MOTOR VEHICLE THEFT,APARTMENT,1664
NARCOTICS,GOVERNMENT BUILDING/PROPERTY,1642
OTHER OFFENSE,CHA APARTMENT,1618
THEFT,SPORTS ARENA/STADIUM,1616
BURGLARY,BAR OR TAVERN,1608
ASSAULT,CHA HALLWAY/STAIRWELL/ELEVATOR,1606
CRIMINAL DAMAGE,BARBERSHOP,1602
ASSAULT,BAR OR TAVERN,1602
THEFT,CTA STATION,1577
NARCOTICS,"SCHOOL, PUBLIC, GROUNDS",1572
THEFT,ABANDONED BUILDING,1570
THEFT,OTHER RAILROAD PROP / TRAIN DEPOT,1566
CRIMINAL DAMAGE,RESIDENCE - YARD (FRONT / BACK),1564
OTHER OFFENSE,GOVERNMENT BUILDING/PROPERTY,1563
OTHER OFFENSE,RESIDENTIAL YARD (FRONT/BACK),1551
OTHER OFFENSE,OTHER (SPECIFY),1542
WEAPONS VIOLATION,OTHER,1536
CRIMINAL TRESPASS,PARK PROPERTY,1533
CRIMINAL TRESPASS,OTHER RAILROAD PROP / TRAIN DEPOT,1523
BATTERY,DRUG STORE,1521
BATTERY,CTA BUS STOP,1517
BATTERY,SCHOOL - PUBLIC GROUNDS,1512
ASSAULT,RESIDENCE - PORCH / HALLWAY,1510
DECEPTIVE PRACTICE,CTA TRAIN,1508
PUBLIC PEACE VIOLATION,ALLEY,1503
OTHER OFFENSE,POLICE FACILITY/VEH PARKING LOT,1497
ASSAULT,"SCHOOL, PRIVATE, BUILDING",1490
DECEPTIVE PRACTICE,AIRPORT/AIRCRAFT,1488
ASSAULT,TAVERN/LIQUOR STORE,1476
CRIMINAL DAMAGE,CONSTRUCTION SITE,1448
ROBBERY,CTA BUS,1445
BATTERY,OTHER (SPECIFY),1439
OTHER OFFENSE,GROCERY FOOD STORE,1437
DECEPTIVE PRACTICE,CONVENIENCE STORE,1434
CRIMINAL TRESPASS,VEHICLE NON-COMMERCIAL,1433
CRIMINAL DAMAGE,"SCHOOL, PRIVATE, BUILDING",1430
BATTERY,HOSPITAL BUILDING / GROUNDS,1429
PUBLIC PEACE VIOLATION,OTHER,1425
OTHER OFFENSE,RESIDENCE-GARAGE,1418
CRIMINAL DAMAGE,HOTEL/MOTEL,1416
ASSAULT,HOTEL/MOTEL,1413
INTIMIDATION,RESIDENCE,1410
WEAPONS VIOLATION,GAS STATION,1407
OFFENSE INVOLVING CHILDREN,SIDEWALK,1396
CRIMINAL TRESPASS,HOSPITAL BUILDING/GROUNDS,1387
THEFT,CLEANING STORE,1382
WEAPONS VIOLATION,PARKING LOT/GARAGE(NON.RESID.),1363
SEX OFFENSE,ALLEY,1362
HOMICIDE,AUTO,1362
CRIMINAL DAMAGE,TAVERN/LIQUOR STORE,1358
NARCOTICS,CTA TRAIN,1351
CRIMINAL DAMAGE,GOVERNMENT BUILDING/PROPERTY,1345
NARCOTICS,RESTAURANT,1344
BATTERY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1340
THEFT,POLICE FACILITY/VEH PARKING LOT,1336
STALKING,RESIDENCE,1335
ASSAULT,NURSING HOME/RETIREMENT HOME,1332
CRIMINAL DAMAGE,CONVENIENCE STORE,1332
ASSAULT,RESIDENCE - YARD (FRONT / BACK),1328
BURGLARY,STREET,1317
CRIMINAL DAMAGE,FACTORY/MANUFACTURING BUILDING,1316
THEFT,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,1311
THEFT,BARBERSHOP,1309
MOTOR VEHICLE THEFT,SIDEWALK,1307
CRIMINAL DAMAGE,DEPARTMENT STORE,1300
CRIM SEXUAL ASSAULT,STREET,1294
NARCOTICS,AIRPORT/AIRCRAFT,1292
BURGLARY,FACTORY/MANUFACTURING BUILDING,1291
BATTERY,DRIVEWAY - RESIDENTIAL,1281
SEX OFFENSE,OTHER,1278
CRIMINAL DAMAGE,WAREHOUSE,1271
CRIM SEXUAL ASSAULT,OTHER,1266
ROBBERY,PARKING LOT / GARAGE (NON RESIDENTIAL),1254
BATTERY,NURSING / RETIREMENT HOME,1252
THEFT,CURRENCY EXCHANGE,1243
DECEPTIVE PRACTICE,ALLEY,1236
CRIM SEXUAL ASSAULT,VEHICLE NON-COMMERCIAL,1233
BURGLARY,TAVERN/LIQUOR STORE,1227
BATTERY,CTA STATION,1223
CRIMINAL DAMAGE,BANK,1217
KIDNAPPING,SIDEWALK,1213
WEAPONS VIOLATION,PARK PROPERTY,1209
BATTERY,SPORTS ARENA/STADIUM,1203
SEX OFFENSE,"SCHOOL, PUBLIC, BUILDING",1197
DECEPTIVE PRACTICE,CTA STATION,1186
CRIMINAL DAMAGE,MEDICAL/DENTAL OFFICE,1183
STALKING,STREET,1167
THEFT,MOVIE HOUSE/THEATER,1162
ARSON,APARTMENT,1152
ROBBERY,DEPARTMENT STORE,1145
BURGLARY,PARKING LOT/GARAGE(NON.RESID.),1144
OFFENSE INVOLVING CHILDREN,OTHER,1141
NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,1139
THEFT,HOTEL / MOTEL,1130
BURGLARY,CONVENIENCE STORE,1127
BATTERY,HOTEL / MOTEL,1120
CRIMINAL DAMAGE,ABANDONED BUILDING,1116
CRIMINAL DAMAGE,OTHER (SPECIFY),1116
HOMICIDE,APARTMENT,1098
BATTERY,BARBERSHOP,1087
SEX OFFENSE,PARK PROPERTY,1075
OTHER OFFENSE,HOTEL/MOTEL,1068
ASSAULT,LIBRARY,1063
LIQUOR LAW VIOLATION,RESTAURANT,1060
THEFT,OTHER COMMERCIAL TRANSPORTATION,1053
BATTERY,AIRPORT/AIRCRAFT,1045
THEFT,"SCHOOL, PRIVATE, GROUNDS",1045
BATTERY,"SCHOOL, PRIVATE, GROUNDS",1042
DECEPTIVE PRACTICE,CTA BUS,1032
CRIMINAL TRESPASS,ALLEY,1028
OTHER OFFENSE,PARK PROPERTY,1016
ARSON,STREET,1006
DECEPTIVE PRACTICE,TAVERN/LIQUOR STORE,999
THEFT,APPLIANCE STORE,999
CRIMINAL TRESPASS,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,989
ASSAULT,OTHER (SPECIFY),988
BURGLARY,DEPARTMENT STORE,973
ARSON,RESIDENCE-GARAGE,958
CRIMINAL TRESPASS,GOVERNMENT BUILDING/PROPERTY,958
CRIMINAL DAMAGE,LIBRARY,956
ASSAULT,POLICE FACILITY/VEH PARKING LOT,935
ROBBERY,"SCHOOL, PUBLIC, BUILDING",930
OFFENSE INVOLVING CHILDREN,"SCHOOL, PUBLIC, BUILDING",930
THEFT,CAR WASH,929
OFFENSE INVOLVING CHILDREN,POLICE FACILITY/VEH PARKING LOT,901
OTHER OFFENSE,CONVENIENCE STORE,893
ASSAULT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,884
STALKING,APARTMENT,882
CRIMINAL DAMAGE,CLEANING STORE,882
ROBBERY,CHA PARKING LOT/GROUNDS,882
LIQUOR LAW VIOLATION,BAR OR TAVERN,880
OTHER OFFENSE,NURSING HOME/RETIREMENT HOME,877
CRIMINAL TRESPASS,BAR OR TAVERN,873
CRIMINAL TRESPASS,LIBRARY,873
WEAPONS VIOLATION,CHA PARKING LOT/GROUNDS,869
NARCOTICS,SMALL RETAIL STORE,865
BURGLARY,OTHER (SPECIFY),864
ASSAULT,SCHOOL - PUBLIC BUILDING,859
ASSAULT,DRIVEWAY - RESIDENTIAL,858
PUBLIC PEACE VIOLATION,PARK PROPERTY,856
NARCOTICS,HOSPITAL BUILDING/GROUNDS,852
DECEPTIVE PRACTICE,"SCHOOL, PUBLIC, BUILDING",848
DECEPTIVE PRACTICE,HOSPITAL BUILDING/GROUNDS,847
INTERFERENCE WITH PUBLIC OFFICER,ALLEY,847
THEFT,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,839
PROSTITUTION,ALLEY,839
ASSAULT,CTA TRAIN,835
CRIMINAL DAMAGE,RESIDENCE - PORCH / HALLWAY,835
BURGLARY,CLEANING STORE,835
ROBBERY,DRUG STORE,827
NARCOTICS,RESIDENCE-GARAGE,826
BATTERY,TAXICAB,825
NARCOTICS,CTA BUS STOP,817
CRIMINAL TRESPASS,VACANT LOT/LAND,811
HOMICIDE,ALLEY,804
CRIMINAL TRESPASS,CONSTRUCTION SITE,797
NARCOTICS,CTA GARAGE / OTHER PROPERTY,795
GAMBLING,ALLEY,794
CRIMINAL TRESPASS,"SCHOOL, PRIVATE, BUILDING",790
OTHER OFFENSE,BAR OR TAVERN,788
CRIMINAL DAMAGE,AIRPORT/AIRCRAFT,787
CRIMINAL DAMAGE,HOSPITAL BUILDING/GROUNDS,783
THEFT,,783
CRIMINAL TRESPASS,DRIVEWAY - RESIDENTIAL,779
BATTERY,FACTORY/MANUFACTURING BUILDING,777
ROBBERY,VACANT LOT/LAND,769
WEAPONS VIOLATION,PARKING LOT / GARAGE (NON RESIDENTIAL),768
CRIMINAL TRESPASS,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,766
CRIMINAL TRESPASS,SPORTS ARENA/STADIUM,763
ASSAULT,BANK,763
CRIMINAL TRESPASS,CTA GARAGE / OTHER PROPERTY,755
NARCOTICS,HOTEL/MOTEL,755
THEFT,ATM (AUTOMATIC TELLER MACHINE),753
CRIMINAL TRESPASS,COLLEGE/UNIVERSITY GROUNDS,752
ASSAULT,MEDICAL/DENTAL OFFICE,745
BATTERY,LIBRARY,741
BURGLARY,"SCHOOL, PRIVATE, BUILDING",738
DECEPTIVE PRACTICE,VEHICLE NON-COMMERCIAL,736
DECEPTIVE PRACTICE,GOVERNMENT BUILDING/PROPERTY,734
WEAPONS VIOLATION,RESIDENCE - YARD (FRONT / BACK),728
THEFT,DELIVERY TRUCK,726
OTHER OFFENSE,MEDICAL/DENTAL OFFICE,726
THEFT,HOSPITAL BUILDING / GROUNDS,725
NARCOTICS,GROCERY FOOD STORE,723
CRIM SEXUAL ASSAULT,HOTEL/MOTEL,715
ASSAULT,SCHOOL - PUBLIC GROUNDS,709
BATTERY,CTA GARAGE / OTHER PROPERTY,706
ASSAULT,BARBERSHOP,699
OTHER OFFENSE,DEPARTMENT STORE,697
INTIMIDATION,STREET,695
BATTERY,WAREHOUSE,689
CRIMINAL TRESPASS,CTA STATION,688
ASSAULT,CTA STATION,684
OTHER OFFENSE,BARBERSHOP,681
BURGLARY,OTHER RAILROAD PROP / TRAIN DEPOT,681
ASSAULT,RESIDENCE-GARAGE,681
NARCOTICS,DRUG STORE,677
ROBBERY,HOTEL/MOTEL,674
THEFT,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,674
BURGLARY,PARK PROPERTY,670
WEAPONS VIOLATION,VACANT LOT/LAND,668
